secret_type,secret_type_display_name,secret,path,start_line,end_line,start_column,end_column
"credit_cards","Credit Cards","d79449f462cec9af0d857c3e1af888d4fa8bbdaa511b9eaaafcd2805c4ea6471","pii/credit-cards.txt","52","52","1","17",
"credit_cards","Credit Cards","1c9d38ed26cd808fa3b02b9b3b988a7caf474e2e42d95789c0fe07e267c80d8f","pii/credit-cards.txt","51","51","1","17",
"credit_cards","Credit Cards","51a4ae4c6ae999146474a67cbcb3b05fbcf4c17ab683043a066459da95513ea8","pii/credit-cards.txt","40","40","1","15",
"credit_cards","Credit Cards","3a134ef77d4e2e4cdad2d2945ff1f76c1a23296c93c851f6244220a8cedea130","pii/credit-cards.txt","26","26","1","16",
"credit_cards","Credit Cards","3aebd9be84d81a1c5676e31adda86653aa5e7da0a6bda5ea02fec6526c19bb11","pii/credit-cards.txt","14","14","1","17",
"credit_cards","Credit Cards","be6a3050f2611250d0b50c1fa6aff7d23925922a35520c2d0a51a262ba894f8e","pii/credit-cards.txt","12","12","1","17",
"credit_cards","Credit Cards","b0967544705dcfb38a5fb64b61b611781424969de296a4eb4c286e357fcbf5c7","pii/credit-cards.txt","35","35","1","17",
"credit_cards","Credit Cards","273476b83f26d858e3e62e1fc042e06961ed9229a428156d7ccfa096297267ff","pii/credit-cards.txt","28","28","1","16",
"credit_cards","Credit Cards","334b48feec00e7ec9808e50f1f05efd5eb1089abce7430e3a5b2b79dd2da1b73","pii/credit-cards.txt","13","13","1","17",
"credit_cards","Credit Cards","2f725bbd1f405a1ed0336abaf85ddfeb6902a9984a76fd877c3b5cc3b5085a82","pii/credit-cards.txt","10","10","1","17",
"credit_cards","Credit Cards","d8086d483c15c711ebba19f966b97d3c2adcba74025ff8d7e07c3698c9531deb","pii/credit-cards.txt","47","47","1","17",
"credit_cards","Credit Cards","19ff47cc8024c133d5845d3f8938caca289929031e7d508c3adf7adff177f0c2","pii/credit-cards.txt","46","46","1","17",
"credit_cards","Credit Cards","f41e7ca4a3d71c4f047581f2ae2d6a8dbb8c58e51a020fa227edc724474aab6e","pii/credit-cards.txt","41","41","1","15",
"credit_cards","Credit Cards","c4fdb6f6c2740911ac19e48600164e3b6d1b9fa26ba9a23a3aee7404a6e11617","pii/credit-cards.txt","29","29","1","16",
"credit_cards","Credit Cards","53a8fc816e63b7a5ccd17aaff93f28bcf13abbf418209dcd93947722d7c326ba","pii/credit-cards.txt","27","27","1","16",
"credit_cards","Credit Cards","304945e91de3deff52a61d08733141d72dd42ec9d47972f1060534d54c0c7f90","pii/credit-cards.txt","11","11","1","17",
